,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error
0,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.04,1.9,1.7,0.03,0.01,281.85254,0,5.641384026372732
0,Grp. A1 B6 (100% C1),425,0.166,0.0,0.0,0.0,0.42,0.5,1.9,0.01,0.01,570.75916,0,6.346967334339377
0,Grp. A1 B6 (100% C1),427,0.166,0.0,0.0,0.0,0.32,0.2,1.2,0.01,0.01,625.2578,0,6.438164044689912
0,Grp. A1 B6 (100% C1),600,0.166,0.0,0.0,0.0,0.08,1.0,1.2,0.01,0.01,589.75494,0,6.379707094683393
0,Grp. A1 B6 (100% C1),601,0.166,0.0,0.0,0.0,0.36,0.2,1.3,0.02,0.01,2046.7267,0,7.623997064290453
0,Grp. A1 B6 (100% C1),609,0.171,0.0,0.0,0.0,0.04,0.7,0.6,0.01,0.01,1197.924,0,7.088345337597944
0,Grp. A2 B6 (80% C1; 20% C11),431,0.166,0.141,-0.595,0.76,0.26,1.2,1.5,0.04,0.01,445.29437,0,6.098735569085818
0,Grp. A2 B6 (80% C1; 20% C11),432,0.166,0.141,-0.095,0.085,0.28,1.2,1.5,0.05,0.01,923.54584,0,6.828220435657001
0,Grp. A2 B6 (80% C1; 20% C11),433,0.166,0.142,-0.055,0.05,0.54,0.5,0.5,0.07,0.01,1219.0066,0,7.10579154374061
0,Grp. A2 B6 (80% C1; 20% C11),435,0.171,0.127,-0.145,0.415,0.14,1.4,1.4,0.04,0.01,169.74881,0,5.134319756104955
0,Grp. A2 B6 (80% C1; 20% C11),627,0.166,0.141,-0.085,0.075,0.04,2.0,1.5,0.06,0.01,2752.7068,0,7.920339997473047
0,Grp. A2 B6 (80% C1; 20% C11),633,0.166,0.142,-0.055,0.49,0.42,1.6,1.9,0.07,0.01,1075.0875,0,6.9801573325981785
0,Grp. A2 B6 (80% C1; 20% C11),637,0.166,0.141,-0.045,0.045,0.08,1.3,1.1,0.04,0.01,346.8094,0,5.848775349498685
0,Grp. A2 B6 (80% C1; 20% C11),648,0.166,0.142,-0.07,0.065,0.2,1.2,1.0,0.08,0.01,536.4075,0,6.284894133412683
0,Grp. A3 B6 (50% C1; 50% C11),436,0.166,0.142,-0.14,0.265,0.54,0.7,0.2,0.07,0.01,68.085014,1,4.2207571302018385
0,Grp. A3 B6 (50% C1; 50% C11),439,0.166,0.141,-0.095,0.085,0.2,1.4,1.3,0.07,0.01,879.1885,1,6.778999322931074
0,Grp. A3 B6 (50% C1; 50% C11),440,0.166,0.141,-0.12,0.245,1.0,0.2,0.1,0.03,0.01,68.60987,1,4.228436401933478
0,Grp. A3 B6 (50% C1; 50% C11),441,0.166,0.142,-0.14,0.265,0.94,0.5,0.4,0.09,0.01,1392.1763,1,7.23862348517349
0,Grp. A3 B6 (50% C1; 50% C11),653,0.166,0.127,-0.205,0.5,1.0,1.8,2.0,0.02,0.01,5496.287,1,8.611828052334994
0,Grp. A3 B6 (50% C1; 50% C11),655,0.166,0.127,-0.135,0.265,0.86,1.5,1.7,0.01,0.01,1202.7043,1,7.092327883599113
0,Grp. A3 B6 (50% C1; 50% C11),660,0.166,0.141,-0.075,0.07,0.24,0.7,0.4,0.06,0.01,381.54752,1,5.944235403911085
0,Grp. A3 B6 (50% C1; 50% C11),668,0.166,0.127,-0.06,0.065,0.14,1.6,1.4,0.06,0.01,332.35913,1,5.806216101149835
0,Grp. A4 B6 (20% C1; 80% C11),444,0.166,0.142,-0.145,0.35,0.8,0.7,0.6,0.06,0.01,5314.2544,1,8.578147998715446
0,Grp. A4 B6 (20% C1; 80% C11),445,0.166,0.127,-0.135,0.265,0.3,0.9,0.9,0.01,0.01,484.06677,1,6.182222851747233
0,Grp. A4 B6 (20% C1; 80% C11),446,0.166,0.127,-0.11,0.22,0.6,0.6,0.4,0.06,0.01,210.89479,1,5.351359383528569
0,Grp. A4 B6 (20% C1; 80% C11),447,0.166,0.127,-0.24,0.305,0.86,1.2,1.3,0.01,0.01,1992.0338,1,7.596911405872077
0,Grp. A4 B6 (20% C1; 80% C11),683,0.166,0.127,-0.11,0.24,0.94,1.3,1.5,0.01,0.01,1612.4696,1,7.385522195779035
0,Grp. A4 B6 (20% C1; 80% C11),686,0.166,0.127,-0.08,0.165,0.96,1.5,1.7,0.02,0.01,1282.348,1,7.156448051502531
0,Grp. A4 B6 (20% C1; 80% C11),687,0.166,0.141,-0.12,0.23,0.84,0.2,0.1,0.02,0.01,110.06591,1,4.701079368172846
0,Grp. A4 B6 (20% C1; 80% C11),689,0.166,0.127,-0.245,0.31,0.98,1.7,1.9,0.01,0.01,920.072,1,6.824451927850429
0,Grp. A4 B6 (20% C1; 80% C11),697,0.166,0.142,-0.085,0.075,0.1,0.4,0.3,0.01,0.01,1017.8355,1,6.925433592697579
0,Grp. A5 B6 (100% C11),448,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,82535.58,1,11.320984752078692
0,Grp. A5 B6 (100% C11),449,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,65511.555,1,11.089981818278279
0,Grp. A5 B6 (100% C11),450,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,445.36533,1,6.098894911649875
0,Grp. A5 B6 (100% C11),452,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4280642.5,1,15.269613673114007
0,Grp. A5 B6 (100% C11),453,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,294690.2,1,12.593679914016084
0,Grp. A5 B6 (100% C11),701,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,187451.28,1,12.14127425062834
0,Grp. A5 B6 (100% C11),703,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,388419.28,1,12.869840653714164
0,Grp. A5 B6 (100% C11),704,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,142935.16,1,11.870146379839705
0,Grp. A5 B6 (100% C11),715,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,701589.94,1,13.461104381282807
0,Grp. A5 B6 (100% C11),721,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.01,30817.326,1,10.335832343267121
