,index,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error,logaf,logbc,logkm
0,8918157,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.04,1.9,1.7,0.03,0.01,281.85254,0,5.641384026372732,0.1112256351102244,-0.2876820724517809,
1,30383552,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.16,0.5,0.3,0.03,0.01,358.7186,0,5.882538237110791,0.5108256237659907,-1.6739764335716716,
2,17611769,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.08,1.5,1.2,0.05,0.01,453.1875,0,6.116305947131812,0.22314355131420976,-0.4700036292457356,
3,35282749,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.18,0.4,0.3,0.02,0.01,468.28534,0,6.149077810980296,0.287682072451781,-2.197224577336219,
4,21849903,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.12,1.2,1.2,0.03,0.01,495.16666,0,6.204894392771072,0.0,-1.3862943611198906,
5,42761968,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.1,1.4,1.4,0.03,0.01,510.98944,0,6.236348924628138,0.0,-1.2039728043259361,
6,17350958,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.08,1.4,1.2,0.04,0.01,525.83954,0,6.2649961091641275,0.15415067982725836,-0.6931471805599453,
7,41767810,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.1,1.0,1.0,0.02,0.01,525.8664,0,6.265047188080741,0.0,-1.6094379124341005,
8,22363687,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.12,1.4,1.5,0.03,0.01,577.3663,0,6.358476900440664,-0.06899287148695156,-1.3862943611198906,
9,27182448,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.14,1.3,1.3,0.04,0.01,588.8028,0,6.378091322838142,0.0,-1.252762968495368,
10,31068694,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.16,0.8,0.9,0.02,0.01,592.56793,0,6.384465516226531,-0.11778303565638339,-2.0794415416798357,
11,42762289,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.1,1.4,1.5,0.02,0.01,599.71375,0,6.396452458042351,-0.06899287148695156,-1.6094379124341005,
12,22630116,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.12,1.5,1.4,0.05,0.01,603.07135,0,6.402035514768789,0.06899287148695142,-0.8754687373538999,
13,66644791,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.2,0.6,0.7,0.02,0.01,623.8745,0,6.435949226346856,-0.15415067982725822,-2.302585092994046,
14,67107512,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.2,0.8,0.9,0.03,0.01,624.4259,0,6.4368326676016405,-0.11778303565638339,-1.8971199848858813,
15,18438046,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.08,1.8,1.9,0.02,0.01,635.84576,0,6.454956018205158,-0.0540672212702757,-1.3862943611198906,
16,31544503,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.16,1.0,1.1,0.03,0.01,645.35504,0,6.469800614966359,-0.0953101798043249,-1.6739764335716716,
17,32825973,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.16,1.5,1.7,0.04,0.01,657.1194,0,6.487865737132594,-0.12516314295400605,-1.3862943611198906,
18,23776033,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.12,1.9,1.8,0.06,0.01,660.67444,0,6.493261192045644,0.05406722127027579,-0.6931471805599453,
19,45449493,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.22,0.4,0.4,0.02,0.01,665.7127,0,6.500858196087292,0.0,-2.3978952727983707,
20,50177668,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.24,0.2,0.2,0.01,0.01,670.1235,0,6.507462023756836,0.0,-3.1780538303479453,
21,27711452,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.14,1.5,1.5,0.05,0.01,676.87964,0,6.517493472764077,0.0,-1.0296194171811581,
22,45903077,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.22,0.6,0.6,0.03,0.01,679.1929,0,6.520905181467824,0.0,-1.9924301646902063,
23,66644672,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.2,0.6,0.1,0.06,0.01,686.2049,0,6.531176271174139,1.791759469228055,-1.2039728043259361,
24,18154303,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.08,1.7,1.8,0.02,0.01,687.584,0,6.533184003895317,-0.05715841383994864,-1.3862943611198906,
25,32294471,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.16,1.3,1.4,0.04,0.01,691.12177,0,6.538316031107657,-0.07410797215372172,-1.3862943611198906,
26,36670889,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.18,1.0,1.2,0.03,0.01,698.38153,0,6.548765558013029,-0.1823215567939546,-1.791759469228055,
27,12438782,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.06,1.4,0.9,0.06,0.01,698.4367,0,6.548844551827462,0.4418327522790391,0.0,
28,66644719,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.2,0.6,0.4,0.04,0.01,701.367,0,6.553031287839627,0.4054651081081642,-1.6094379124341005,
29,33681450,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.16,1.8,1.9,0.06,0.01,711.6069,0,6.567525652203354,-0.0540672212702757,-0.9808292530117262,
30,67585990,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.2,1.0,1.1,0.04,0.01,719.5843,0,6.578673684161882,-0.0953101798043249,-1.6094379124341005,
31,28272207,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.14,1.7,2.0,0.03,0.01,721.0394,0,6.580693782116442,-0.16251892949777494,-1.540445040947149,
32,33102670,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.16,1.6,1.6,0.06,0.01,725.92926,0,6.587452572060875,0.0,-0.9808292530117262,
33,44159943,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.1,1.9,1.8,0.05,0.01,733.4418,0,6.597748248831736,0.05406722127027579,-0.6931471805599453,
34,41074603,Grp. A1 B6 (100% C1),424,0.166,0.0,0.0,0.0,0.1,0.7,0.6,0.02,0.01,734.1338,0,6.5986913008302635,0.15415067982725836,-1.6094379124341005,
35,25959482,Grp. A1 B6 (100% C1),424,0.171,0.0,0.0,0.0,0.14,0.8,0.7,0.03,0.01,735.81116,0,6.600973509720644,0.13353139262452277,-1.540445040947149,
