group,id,day,size
Grp. A1 B6 (100% C1),424,7,25.7256
Grp. A1 B6 (100% C1),424,10,36.3927005
Grp. A1 B6 (100% C1),424,14,46.803512
Grp. A1 B6 (100% C1),424,17,98.26039
Grp. A1 B6 (100% C1),424,21,112.6732035
Grp. A1 B6 (100% C1),424,24,105.133581
Grp. A1 B6 (100% C1),424,28,110.254662
Grp. A1 B6 (100% C1),424,31,117.5363
Grp. A1 B6 (100% C1),424,35,118.24435
Grp. A1 B6 (100% C1),424,38,134.140032
Grp. A1 B6 (100% C1),424,42,173.414626
Grp. A1 B6 (100% C1),424,45,244.98689
Grp. A1 B6 (100% C1),424,49,312.618202
Grp. A1 B6 (100% C1),424,52,498.264138
Grp. A1 B6 (100% C1),425,7,22.8492165
Grp. A1 B6 (100% C1),425,10,57.130809
Grp. A1 B6 (100% C1),425,14,50.9012
Grp. A1 B6 (100% C1),425,17,58.571025
Grp. A1 B6 (100% C1),425,21,49.478975
Grp. A1 B6 (100% C1),425,24,27.386998
Grp. A1 B6 (100% C1),425,28,41.2347665
Grp. A1 B6 (100% C1),425,31,50.1993375
Grp. A1 B6 (100% C1),425,35,84.279296
Grp. A1 B6 (100% C1),425,38,106.716288
Grp. A1 B6 (100% C1),425,42,106.07167
Grp. A1 B6 (100% C1),425,45,129.4524205
Grp. A1 B6 (100% C1),425,49,133.100514
Grp. A1 B6 (100% C1),425,52,160.1104015
Grp. A1 B6 (100% C1),425,56,202.2940215
Grp. A1 B6 (100% C1),425,59,229.7903985
Grp. A1 B6 (100% C1),425,63,327.89936
Grp. A1 B6 (100% C1),425,66,332.226048
Grp. A1 B6 (100% C1),425,70,484.2018
Grp. A1 B6 (100% C1),425,73,507.8214
Grp. A1 B6 (100% C1),425,77,661.405526
Grp. A1 B6 (100% C1),425,80,692.225352
Grp. A1 B6 (100% C1),425,84,898.44588
Grp. A1 B6 (100% C1),425,87,1142.2782
Grp. A1 B6 (100% C1),426,7,17.824296
Grp. A1 B6 (100% C1),426,10,39.557046
Grp. A1 B6 (100% C1),426,14,45.1241955
Grp. A1 B6 (100% C1),426,17,64.75212
Grp. A1 B6 (100% C1),426,21,65.3184
Grp. A1 B6 (100% C1),426,24,64.888912
Grp. A1 B6 (100% C1),426,28,64.257336
Grp. A1 B6 (100% C1),426,31,83.9592
Grp. A1 B6 (100% C1),426,35,109.530848
Grp. A1 B6 (100% C1),426,38,150.3091725
Grp. A1 B6 (100% C1),426,42,153.161925
Grp. A1 B6 (100% C1),426,45,167.03622
Grp. A1 B6 (100% C1),426,49,212.0896875
Grp. A1 B6 (100% C1),427,7,33.502446
Grp. A1 B6 (100% C1),427,10,53.467722
Grp. A1 B6 (100% C1),427,14,71.0
Grp. A1 B6 (100% C1),427,17,102.46401
Grp. A1 B6 (100% C1),427,21,106.69265
Grp. A1 B6 (100% C1),427,24,103.377456
Grp. A1 B6 (100% C1),427,28,102.675404
Grp. A1 B6 (100% C1),427,31,106.3845125
Grp. A1 B6 (100% C1),427,35,121.891878
Grp. A1 B6 (100% C1),427,38,153.772426
Grp. A1 B6 (100% C1),427,42,156.683868
Grp. A1 B6 (100% C1),427,45,201.89205
Grp. A1 B6 (100% C1),427,49,266.438988
Grp. A1 B6 (100% C1),427,52,300.4959375
Grp. A1 B6 (100% C1),427,56,372.236634
Grp. A1 B6 (100% C1),427,59,508.8830125
Grp. A1 B6 (100% C1),427,63,655.841286
Grp. A1 B6 (100% C1),427,66,729.456426
Grp. A1 B6 (100% C1),427,70,906.299904
Grp. A1 B6 (100% C1),428,7,18.559436
Grp. A1 B6 (100% C1),428,10,52.8419585
Grp. A1 B6 (100% C1),428,14,58.0576755
Grp. A1 B6 (100% C1),428,17,62.7692625
Grp. A1 B6 (100% C1),428,21,39.460832
Grp. A1 B6 (100% C1),428,24,22.106214
Grp. A1 B6 (100% C1),428,28,22.707
Grp. A1 B6 (100% C1),428,31,30.253338
Grp. A1 B6 (100% C1),428,35,31.86495
Grp. A1 B6 (100% C1),428,38,32.521942
Grp. A1 B6 (100% C1),428,42,31.1805
Grp. A1 B6 (100% C1),428,45,31.172126
Grp. A1 B6 (100% C1),428,49,31.020805
Grp. A1 B6 (100% C1),428,52,31.5504285
Grp. A1 B6 (100% C1),428,56,31.388424
Grp. A1 B6 (100% C1),428,59,27.88192
Grp. A1 B6 (100% C1),428,63,28.6054595
Grp. A1 B6 (100% C1),428,66,31.0763
Grp. A1 B6 (100% C1),428,70,36.11104
Grp. A1 B6 (100% C1),428,73,36.11104
Grp. A1 B6 (100% C1),428,77,38.99259
Grp. A1 B6 (100% C1),428,80,38.735496
Grp. A1 B6 (100% C1),428,84,51.313
Grp. A1 B6 (100% C1),428,87,63.1463
Grp. A1 B6 (100% C1),428,91,70.688475
Grp. A1 B6 (100% C1),428,94,82.798848
Grp. A1 B6 (100% C1),428,98,114.4034145
Grp. A1 B6 (100% C1),428,101,153.864576
Grp. A1 B6 (100% C1),428,105,182.8286685
Grp. A1 B6 (100% C1),429,7,28.584559
Grp. A1 B6 (100% C1),429,10,52.29378
Grp. A1 B6 (100% C1),429,14,83.2605235
Grp. A1 B6 (100% C1),429,17,97.889868
Grp. A1 B6 (100% C1),429,21,97.63299
Grp. A1 B6 (100% C1),429,24,92.303456
Grp. A1 B6 (100% C1),429,28,94.72872
Grp. A1 B6 (100% C1),429,31,128.6965215
Grp. A1 B6 (100% C1),429,35,189.364832
Grp. A1 B6 (100% C1),429,38,197.3303055
Grp. A2 B6 (80% C1; 20% C11),430,7,22.87771
Grp. A2 B6 (80% C1; 20% C11),430,10,37.249722
Grp. A2 B6 (80% C1; 20% C11),430,14,54.820944
Grp. A2 B6 (80% C1; 20% C11),430,17,65.457385
Grp. A2 B6 (80% C1; 20% C11),430,21,65.42725
Grp. A2 B6 (80% C1; 20% C11),430,24,66.2676
Grp. A2 B6 (80% C1; 20% C11),430,28,67.810671
Grp. A2 B6 (80% C1; 20% C11),430,31,108.1546375
Grp. A2 B6 (80% C1; 20% C11),430,35,132.876936
Grp. A2 B6 (80% C1; 20% C11),430,38,155.37184
Grp. A2 B6 (80% C1; 20% C11),430,42,187.656843
Grp. A2 B6 (80% C1; 20% C11),430,45,212.80862
Grp. A2 B6 (80% C1; 20% C11),431,7,21.074458
Grp. A2 B6 (80% C1; 20% C11),431,10,27.8501115
Grp. A2 B6 (80% C1; 20% C11),431,14,39.76
Grp. A2 B6 (80% C1; 20% C11),431,17,64.621053
Grp. A2 B6 (80% C1; 20% C11),431,21,70.11456
Grp. A2 B6 (80% C1; 20% C11),431,24,64.303125
Grp. A2 B6 (80% C1; 20% C11),431,28,37.9694385
Grp. A2 B6 (80% C1; 20% C11),431,31,36.82893
Grp. A2 B6 (80% C1; 20% C11),431,35,49.1236425
Grp. A2 B6 (80% C1; 20% C11),431,38,66.863329
Grp. A2 B6 (80% C1; 20% C11),431,42,67.8528
Grp. A2 B6 (80% C1; 20% C11),431,45,85.53248
Grp. A2 B6 (80% C1; 20% C11),431,49,102.313728
Grp. A2 B6 (80% C1; 20% C11),431,52,143.035596
Grp. A2 B6 (80% C1; 20% C11),431,56,181.351584
Grp. A2 B6 (80% C1; 20% C11),431,59,225.56864
Grp. A2 B6 (80% C1; 20% C11),431,63,257.9574375
Grp. A2 B6 (80% C1; 20% C11),431,66,354.73356
Grp. A2 B6 (80% C1; 20% C11),431,70,457.9910195
Grp. A2 B6 (80% C1; 20% C11),431,73,573.9683015
Grp. A2 B6 (80% C1; 20% C11),431,77,999.548491
Grp. A2 B6 (80% C1; 20% C11),432,7,23.40819
Grp. A2 B6 (80% C1; 20% C11),432,10,34.047225
Grp. A2 B6 (80% C1; 20% C11),432,14,38.526642
Grp. A2 B6 (80% C1; 20% C11),432,17,45.1264275
Grp. A2 B6 (80% C1; 20% C11),432,21,0.1
Grp. A2 B6 (80% C1; 20% C11),432,24,0.1
Grp. A2 B6 (80% C1; 20% C11),432,28,0.1
Grp. A2 B6 (80% C1; 20% C11),432,31,0.1
Grp. A2 B6 (80% C1; 20% C11),432,35,0.1
Grp. A2 B6 (80% C1; 20% C11),432,38,0.1
Grp. A2 B6 (80% C1; 20% C11),432,42,0.1
Grp. A2 B6 (80% C1; 20% C11),432,45,14.7353445
Grp. A2 B6 (80% C1; 20% C11),432,49,45.75068
Grp. A2 B6 (80% C1; 20% C11),432,52,63.489024
Grp. A2 B6 (80% C1; 20% C11),432,56,70.997472
Grp. A2 B6 (80% C1; 20% C11),432,59,78.416
Grp. A2 B6 (80% C1; 20% C11),432,63,85.29505
Grp. A2 B6 (80% C1; 20% C11),432,66,109.973957
Grp. A2 B6 (80% C1; 20% C11),432,70,120.734848
Grp. A2 B6 (80% C1; 20% C11),432,73,112.498944
Grp. A2 B6 (80% C1; 20% C11),432,77,143.193504
Grp. A2 B6 (80% C1; 20% C11),432,80,147.6830845
Grp. A2 B6 (80% C1; 20% C11),432,84,210.846744
Grp. A2 B6 (80% C1; 20% C11),432,87,240.2816
Grp. A2 B6 (80% C1; 20% C11),432,91,277.116228
Grp. A2 B6 (80% C1; 20% C11),432,94,372.1720035
Grp. A2 B6 (80% C1; 20% C11),432,98,490.067424
Grp. A2 B6 (80% C1; 20% C11),432,101,802.28
Grp. A2 B6 (80% C1; 20% C11),432,105,1168.64105
Grp. A2 B6 (80% C1; 20% C11),433,7,24.661496
Grp. A2 B6 (80% C1; 20% C11),433,10,48.2834395
Grp. A2 B6 (80% C1; 20% C11),433,14,69.317118
Grp. A2 B6 (80% C1; 20% C11),433,17,71.4097845
Grp. A2 B6 (80% C1; 20% C11),433,21,63.571378
Grp. A2 B6 (80% C1; 20% C11),433,24,52.306036
Grp. A2 B6 (80% C1; 20% C11),433,28,53.3593665
Grp. A2 B6 (80% C1; 20% C11),433,31,56.350656
Grp. A2 B6 (80% C1; 20% C11),433,35,69.8447805
Grp. A2 B6 (80% C1; 20% C11),433,38,72.577152
Grp. A2 B6 (80% C1; 20% C11),433,42,75.3664
Grp. A2 B6 (80% C1; 20% C11),433,45,76.748938
Grp. A2 B6 (80% C1; 20% C11),433,49,80.176192
Grp. A2 B6 (80% C1; 20% C11),433,52,103.59936
Grp. A2 B6 (80% C1; 20% C11),433,56,126.478996
Grp. A2 B6 (80% C1; 20% C11),433,59,165.753216
Grp. A2 B6 (80% C1; 20% C11),433,63,237.700425
Grp. A2 B6 (80% C1; 20% C11),433,66,261.946158
Grp. A2 B6 (80% C1; 20% C11),433,70,336.559734
Grp. A2 B6 (80% C1; 20% C11),433,73,402.327178
Grp. A2 B6 (80% C1; 20% C11),433,77,488.37654
Grp. A2 B6 (80% C1; 20% C11),433,80,515.44566
Grp. A2 B6 (80% C1; 20% C11),433,84,536.914752
Grp. A2 B6 (80% C1; 20% C11),433,87,549.01515
Grp. A2 B6 (80% C1; 20% C11),433,91,577.261056
Grp. A2 B6 (80% C1; 20% C11),433,94,762.112005
Grp. A2 B6 (80% C1; 20% C11),433,98,824.8647485
Grp. A2 B6 (80% C1; 20% C11),433,101,990.6
Grp. A2 B6 (80% C1; 20% C11),434,7,20.701184
Grp. A2 B6 (80% C1; 20% C11),434,10,33.689934
Grp. A2 B6 (80% C1; 20% C11),434,14,52.790981
Grp. A2 B6 (80% C1; 20% C11),434,17,61.05125
Grp. A2 B6 (80% C1; 20% C11),434,21,62.939835
Grp. A2 B6 (80% C1; 20% C11),434,24,67.457088
Grp. A2 B6 (80% C1; 20% C11),434,28,64.24348
Grp. A2 B6 (80% C1; 20% C11),434,31,69.0390155
Grp. A2 B6 (80% C1; 20% C11),434,35,111.3959385
Grp. A2 B6 (80% C1; 20% C11),434,38,118.244448
Grp. A2 B6 (80% C1; 20% C11),434,42,122.371912
Grp. A2 B6 (80% C1; 20% C11),434,45,136.611792
Grp. A2 B6 (80% C1; 20% C11),434,49,228.887136
Grp. A2 B6 (80% C1; 20% C11),435,7,28.719684
Grp. A2 B6 (80% C1; 20% C11),435,10,53.016
Grp. A2 B6 (80% C1; 20% C11),435,14,74.239076
Grp. A2 B6 (80% C1; 20% C11),435,17,98.9408
Grp. A2 B6 (80% C1; 20% C11),435,21,90.4475
Grp. A2 B6 (80% C1; 20% C11),435,24,91.07397
Grp. A2 B6 (80% C1; 20% C11),435,28,91.20375
Grp. A2 B6 (80% C1; 20% C11),435,31,128.883456
Grp. A2 B6 (80% C1; 20% C11),435,35,150.699368
Grp. A2 B6 (80% C1; 20% C11),435,38,176.5546875
Grp. A2 B6 (80% C1; 20% C11),435,42,182.974869
Grp. A2 B6 (80% C1; 20% C11),435,45,273.550016
Grp. A2 B6 (80% C1; 20% C11),435,49,336.669696
Grp. A2 B6 (80% C1; 20% C11),435,52,484.620274
Grp. A3 B6 (50% C1; 50% C11),436,7,19.79229
Grp. A3 B6 (50% C1; 50% C11),436,10,27.25625
Grp. A3 B6 (50% C1; 50% C11),436,14,37.64473
Grp. A3 B6 (50% C1; 50% C11),436,17,39.027366
Grp. A3 B6 (50% C1; 50% C11),436,21,0.1
Grp. A3 B6 (50% C1; 50% C11),436,24,0.0
Grp. A3 B6 (50% C1; 50% C11),436,28,0.0
Grp. A3 B6 (50% C1; 50% C11),436,31,0.0
Grp. A3 B6 (50% C1; 50% C11),436,35,0.1
Grp. A3 B6 (50% C1; 50% C11),436,38,0.1
Grp. A3 B6 (50% C1; 50% C11),436,42,0.1
Grp. A3 B6 (50% C1; 50% C11),436,45,0.1
Grp. A3 B6 (50% C1; 50% C11),436,49,21.964
Grp. A3 B6 (50% C1; 50% C11),436,52,31.8240545
Grp. A3 B6 (50% C1; 50% C11),436,56,52.4059875
Grp. A3 B6 (50% C1; 50% C11),436,59,79.819545
Grp. A3 B6 (50% C1; 50% C11),436,63,133.602012
Grp. A3 B6 (50% C1; 50% C11),436,66,198.000792
Grp. A3 B6 (50% C1; 50% C11),436,70,406.5957905
Grp. A3 B6 (50% C1; 50% C11),436,73,606.48
Grp. A3 B6 (50% C1; 50% C11),436,77,1056.203676
Grp. A3 B6 (50% C1; 50% C11),437,7,22.776787
Grp. A3 B6 (50% C1; 50% C11),437,10,35.9734
Grp. A3 B6 (50% C1; 50% C11),437,14,48.650875
Grp. A3 B6 (50% C1; 50% C11),437,17,51.886336
Grp. A3 B6 (50% C1; 50% C11),437,21,53.431805
Grp. A3 B6 (50% C1; 50% C11),437,24,31.601598
Grp. A3 B6 (50% C1; 50% C11),437,28,33.6135085
Grp. A3 B6 (50% C1; 50% C11),437,31,39.835386
Grp. A3 B6 (50% C1; 50% C11),437,35,60.9854
Grp. A3 B6 (50% C1; 50% C11),437,38,63.96416
Grp. A3 B6 (50% C1; 50% C11),437,42,67.8957705
Grp. A3 B6 (50% C1; 50% C11),437,45,69.6082005
Grp. A3 B6 (50% C1; 50% C11),437,49,71.696384
Grp. A3 B6 (50% C1; 50% C11),437,52,127.307488
Grp. A3 B6 (50% C1; 50% C11),437,56,135.58302
Grp. A3 B6 (50% C1; 50% C11),437,59,211.192352
Grp. A3 B6 (50% C1; 50% C11),438,7,25.324288
Grp. A3 B6 (50% C1; 50% C11),438,10,35.927035
Grp. A3 B6 (50% C1; 50% C11),438,14,38.188056
Grp. A3 B6 (50% C1; 50% C11),438,17,40.239396
Grp. A3 B6 (50% C1; 50% C11),438,21,30.34395
Grp. A3 B6 (50% C1; 50% C11),438,24,12.0264345
Grp. A3 B6 (50% C1; 50% C11),438,28,11.8546305
Grp. A3 B6 (50% C1; 50% C11),438,31,11.940378
Grp. A3 B6 (50% C1; 50% C11),438,35,18.438886
Grp. A3 B6 (50% C1; 50% C11),438,38,18.181696
Grp. A3 B6 (50% C1; 50% C11),438,42,18.2952
Grp. A3 B6 (50% C1; 50% C11),438,45,18.2952
Grp. A3 B6 (50% C1; 50% C11),438,49,18.2952
Grp. A3 B6 (50% C1; 50% C11),438,52,0.1
Grp. A3 B6 (50% C1; 50% C11),438,56,0.1
Grp. A3 B6 (50% C1; 50% C11),438,59,0.1
Grp. A3 B6 (50% C1; 50% C11),438,63,0.0
Grp. A3 B6 (50% C1; 50% C11),438,66,0.1
Grp. A3 B6 (50% C1; 50% C11),438,70,0.1
Grp. A3 B6 (50% C1; 50% C11),438,73,0.0
Grp. A3 B6 (50% C1; 50% C11),438,77,0.1
Grp. A3 B6 (50% C1; 50% C11),438,80,0.1
Grp. A3 B6 (50% C1; 50% C11),438,84,0.1
Grp. A3 B6 (50% C1; 50% C11),438,87,0.0
Grp. A3 B6 (50% C1; 50% C11),438,91,0.0
Grp. A3 B6 (50% C1; 50% C11),438,94,0.0
Grp. A3 B6 (50% C1; 50% C11),438,98,12.52815
Grp. A3 B6 (50% C1; 50% C11),438,101,24.931445
Grp. A3 B6 (50% C1; 50% C11),438,105,36.88328
Grp. A3 B6 (50% C1; 50% C11),439,7,29.12256
Grp. A3 B6 (50% C1; 50% C11),439,10,43.249635
Grp. A3 B6 (50% C1; 50% C11),439,14,44.9980245
Grp. A3 B6 (50% C1; 50% C11),439,17,46.57352
Grp. A3 B6 (50% C1; 50% C11),439,21,45.949596
Grp. A3 B6 (50% C1; 50% C11),439,24,20.5932875
Grp. A3 B6 (50% C1; 50% C11),439,28,19.56476
Grp. A3 B6 (50% C1; 50% C11),439,31,20.44242
Grp. A3 B6 (50% C1; 50% C11),439,35,28.975104
Grp. A3 B6 (50% C1; 50% C11),439,38,30.2379
Grp. A3 B6 (50% C1; 50% C11),439,42,32.050566
Grp. A3 B6 (50% C1; 50% C11),439,45,43.32188
Grp. A3 B6 (50% C1; 50% C11),439,49,103.738284
Grp. A3 B6 (50% C1; 50% C11),439,52,95.3934165
Grp. A3 B6 (50% C1; 50% C11),439,56,97.104827
Grp. A3 B6 (50% C1; 50% C11),439,59,105.1064
Grp. A3 B6 (50% C1; 50% C11),439,63,93.192192
Grp. A3 B6 (50% C1; 50% C11),439,66,120.0300325
Grp. A3 B6 (50% C1; 50% C11),439,70,129.3458
Grp. A3 B6 (50% C1; 50% C11),439,73,153.0905595
Grp. A3 B6 (50% C1; 50% C11),439,77,246.874782
Grp. A3 B6 (50% C1; 50% C11),439,80,351.10068
Grp. A3 B6 (50% C1; 50% C11),439,84,546.990696
Grp. A3 B6 (50% C1; 50% C11),440,7,26.98488
Grp. A3 B6 (50% C1; 50% C11),440,10,39.543309
Grp. A3 B6 (50% C1; 50% C11),440,14,43.282026
Grp. A3 B6 (50% C1; 50% C11),440,17,44.846325
Grp. A3 B6 (50% C1; 50% C11),440,21,27.7945335
Grp. A3 B6 (50% C1; 50% C11),440,24,22.984192
Grp. A3 B6 (50% C1; 50% C11),440,28,17.8605
Grp. A3 B6 (50% C1; 50% C11),440,31,19.997928
Grp. A3 B6 (50% C1; 50% C11),440,35,30.59715
Grp. A3 B6 (50% C1; 50% C11),440,38,30.73405
Grp. A3 B6 (50% C1; 50% C11),440,42,33.7174
Grp. A3 B6 (50% C1; 50% C11),440,45,44.734976
Grp. A3 B6 (50% C1; 50% C11),440,49,52.2764
Grp. A3 B6 (50% C1; 50% C11),440,52,100.160064
Grp. A3 B6 (50% C1; 50% C11),440,56,168.440832
Grp. A3 B6 (50% C1; 50% C11),440,59,267.235988
Grp. A3 B6 (50% C1; 50% C11),440,63,497.5096375
Grp. A3 B6 (50% C1; 50% C11),441,7,32.588739
Grp. A3 B6 (50% C1; 50% C11),441,10,50.9042525
Grp. A3 B6 (50% C1; 50% C11),441,14,58.3388075
Grp. A3 B6 (50% C1; 50% C11),441,17,58.314392
Grp. A3 B6 (50% C1; 50% C11),441,21,31.957356
Grp. A3 B6 (50% C1; 50% C11),441,24,52.034464
Grp. A3 B6 (50% C1; 50% C11),441,28,13.90861
Grp. A3 B6 (50% C1; 50% C11),441,31,20.644146
Grp. A3 B6 (50% C1; 50% C11),441,35,23.85152
Grp. A3 B6 (50% C1; 50% C11),441,38,24.2992995
Grp. A3 B6 (50% C1; 50% C11),441,42,24.2364505
Grp. A3 B6 (50% C1; 50% C11),441,45,30.19185
Grp. A3 B6 (50% C1; 50% C11),441,49,30.3468785
Grp. A3 B6 (50% C1; 50% C11),441,52,30.3468785
Grp. A3 B6 (50% C1; 50% C11),441,56,24.650152
Grp. A3 B6 (50% C1; 50% C11),441,59,15.47536
Grp. A3 B6 (50% C1; 50% C11),441,63,21.18645
Grp. A3 B6 (50% C1; 50% C11),441,66,19.639375
Grp. A3 B6 (50% C1; 50% C11),441,70,25.7383975
Grp. A3 B6 (50% C1; 50% C11),441,73,39.0103395
Grp. A3 B6 (50% C1; 50% C11),441,77,55.597022
Grp. A3 B6 (50% C1; 50% C11),441,80,76.053303
Grp. A3 B6 (50% C1; 50% C11),441,84,153.9489655
Grp. A3 B6 (50% C1; 50% C11),441,87,182.875223
