442_Shared,442_C1,442_C11,446_Shared,446_C1,446_C11,447_Shared,447_C1,447_C11
0.303371,0.029557,0.278689,0.299435,0.030303,0.297131,0.269036,0.027933,0.341067
0.338164,0.035398,0.0161,0.32567,0.027523,0.335443,0.335878,0.022222,0.007657
0.308943,0.028302,0.014311,0.270042,0.014451,0.27897,0.333333,0.009396,0.441558
0.278237,0.047904,0.258503,0.292887,0.012048,0.281501,0.395785,0.02963,0.362162
0.29927,0.029304,0.204301,0.313167,0.022642,0.213213,0.265781,0.025926,0.349462
0.28125,0.019108,0.285714,0.354545,0.025862,0.285185,0.396396,0.024291,0.198198
0.267857,0.018841,0.153846,0.238095,0.011527,0.25641,0.238806,0.012308,0.330435
0.26,0.046875,0.190265,0.247148,0.007732,0.256,0.359223,0.034014,0.336683
0.317919,0.027692,0.26087,0.295699,0.008487,0.185606,0.334928,0.034247,0.344538
0.276596,0.02449,0.346154,0.268382,0.011527,0.186667,0.340909,0.019531,0.25
0.38,0.070588,0.253659,0.288235,0.021277,0.226744,0.389262,0.014337,0.214953
0.252918,0.058252,0.15051,0.300971,0.01087,0.187783,0.365019,0.019093,0.263514
0.559829,0.044776,0.227778,0.596774,0.01005,0.253061,0.747619,0.009699,0.184834
0.322738,0.022388,0.15427,0.306773,0.009852,0.296167,0.396509,0.013453,0.334802
0.265957,0.032727,0.254808,0.302326,0.038136,0.239382,0.028351,0.039773,0.445104
0.173077,0.011719,0.267148,0.151703,0.025735,0.273128,0.350427,0.018293,0.261314
0.294118,0.027027,0.268817,0.246575,,0.288732,0.227528,0.020151,0.338462
0.329787,0.02008,0.247423,0.217172,,0.296296,0.343284,0.016556,0.35689
0.482609,0.039216,0.20339,0.406832,,0.336957,0.325581,0.013158,0.286765
0.219231,0.032258,0.23622,0.218563,,0.330435,0.554517,0.013514,0.357759
0.267327,0.03163,0.21659,0.413127,,0.188596,0.243077,0.017045,0.330579
0.313433,0.024324,0.226087,0.43956,,0.272021,0.329412,0.020619,0.233645
0.282353,0.040698,0.189474,0.349462,,0.44186,0.401099,0.007605,0.309192
0.22619,0.029703,0.211429,0.287234,,0.25,0.362573,0.022624,0.520833
0.267606,0.02451,0.413953,0.240385,,0.317829,0.39759,0.020305,0.385965
0.252632,0.028571,0.177778,0.253456,,0.331058,0.305085,0.012376,0.344828
0.303258,0.077778,0.233945,0.267123,,0.221239,0.368664,0.016949,0.333333
0.229102,0.042735,0.198529,0.21374,,0.268421,0.352657,0.019355,0.282555
0.299639,0.014451,0.217391,0.244186,,0.222222,0.269923,0.020243,0.248299
0.067055,0.05,0.219124,0.082645,,0.289256,0.351852,0.017986,0.25
0.425287,0.027907,0.234568,0.471154,,0.252525,0.072289,0.0125,0.312775
0.24,0.012,0.193069,0.170843,,0.30625,0.494737,0.01432,0.311111
0.284672,0.030534,0.260417,0.318436,,0.245059,0.266094,0.018634,0.324503
0.280851,0.025641,0.273973,0.239203,,0.328283,0.333333,0.023952,0.383562
0.304348,0.011527,0.264317,0.27381,,0.265116,0.331839,0.018587,0.314815
0.300341,0.035971,0.282051,0.263889,,0.259912,0.33,0.019608,0.370787
0.298851,0.039216,0.253012,0.300469,,0.277778,0.391045,0.022222,0.329004
0.234637,0.025,0.259259,0.309859,,0.291667,0.407407,0.013793,0.302885
0.289474,0.034653,0.353261,0.291022,,0.09009,0.336323,0.022059,0.272727
0.421801,0.028302,0.261261,0.385246,,0.248148,0.439628,0.021818,0.164804
0.346434,0.016064,0.096875,0.275488,,0.297521,0.544402,0.026786,0.296748
0.150376,0.017699,0.266667,0.161074,,0.245421,0.368715,0.028037,0.352941
0.217391,0.021583,0.254237,0.328125,,0.25,0.167742,0.021212,0.32
0.55642,0.034615,0.289593,0.53169,,0.241935,0.385965,0.014634,0.307229
0.04878,0.039157,0.251397,0.022222,,0.289157,0.608696,0.018443,0.30137
0.241573,0.033557,0.227053,0.269231,,0.264642,0.337278,0.016779,0.258065
0.227273,0.022293,0.253731,0.308725,,0.257618,0.38806,0.031056,0.230248
0.280488,0.034301,0.255014,0.28169,,0.326599,0.27381,0.019355,0.333333
0.189944,0.034653,0.238095,0.251185,,0.226087,0.341463,0.023392,0.363636
0.288235,0.040179,0.27037,0.284153,,0.254438,0.318059,0.025974,0.347368
0.150538,0.025926,0.28,0.098039,,0.236842,0.234848,0.026549,0.282738
0.30303,0.052885,0.202247,0.256098,,0.100503,0.319149,0.015385,0.290123
0.241692,0.033827,0.241379,0.259615,,0.092409,0.407407,0.013575,0.182752
0.310127,0.033058,0.112094,0.292929,,0.248649,0.358382,0.027174,0.182561
0.244635,0.042017,0.143885,0.330909,,0.275168,0.357143,0.01467,0.288
0.268041,0.035912,0.197452,0.228512,,0.252011,0.308511,0.02518,0.312977
0.296443,0.064815,0.225806,0.31457,,0.167382,0.291667,0.019027,0.339564
0.19697,0.041096,0.244582,0.323671,,0.260989,0.314103,0.031646,0.233645
0.572854,0.02952,0.153846,0.557325,,0.230769,0.634848,0.035897,0.379791
0.356164,0.030303,0.27305,0.321168,,0.237458,0.0199,0.023346,0.28
0.056218,0.019608,0.230769,0.058663,,0.359223,0.311688,0.017857,0.242291
0.230769,0.032051,0.196429,0.302419,,0.27665,0.080371,0.019934,0.464912
0.270833,0.041958,0.298969,0.273092,,0.25974,0.4,0.02439,0.325077
0.561728,0.032609,0.258503,0.550523,,0.290816,0.372727,0.018265,0.283077
0.536946,0.036036,0.261411,0.587963,,0.146868,0.322581,0.025,0.329843
0.092334,0.02963,0.276243,0.099635,,0.292818,0.618635,0.013285,0.25062
0.215909,0.038095,0.188172,0.311927,,0.263158,0.664894,0.018349,0.04878
0.273148,0.033613,0.251534,0.080882,,0.239316,0.139082,0.032787,0.282828
0.057208,0.025974,0.278846,0.288703,,0.264249,0.426087,0.012605,0.333333
0.17784,0.033333,0.220126,0.039275,,0.159269,0.372881,0.025707,0.412844
0.286195,0.03012,0.171617,0.184664,,0.331551,0.035409,0.021429,0.443114
0.261438,0.075,0.246988,0.285366,,0.294574,0.166093,0.015873,0.217604
0.152493,0.031579,0.266667,0.292553,,0.305699,0.482323,0.036176,0.326923
0.271889,0.052419,0.268456,0.148338,,0.385214,0.329193,0.013966,0.387097
0.287179,0.050314,0.272251,0.288732,,0.285714,0.217494,0.016901,0.404624
0.262857,0.038462,0.262963,0.261062,,0.302251,0.315789,0.016729,0.336538
0.300926,0.02454,0.297491,0.259669,,0.331034,0.357895,0.015674,0.376866
1,0.024752,0.292517,0.271967,,0.293103,0.378947,0.016667,0.327138
0.070429,0.03675,0.269461,1,,0.279152,0.987805,0.014563,0.516667
0.299754,0.027132,0.258586,0.08773,,0.263158,0.087402,0.026667,0.388889
0.341176,0.025641,0.310345,0.292453,,0.228571,0.33414,0.022124,0.484266
0.298429,0.025641,0.281818,0.229268,,0.271277,0.32973,0.011765,0.332623
0.163399,0.018957,0.183007,0.252137,,0.336406,0.380952,0.035211,0.33871
0.319635,0.037815,0.23913,0.186335,,0.10396,0.202797,0.0199,0.272727
0.202346,0.021368,0.031496,0.25,,0.237903,0.336134,0.017778,0.274611
0.23251,0.024876,0.128405,0.18287,,0.310345,0.233668,0.019169,0.141694
0.358852,0.016529,0.263636,0.21982,,0.257653,0.237687,0.023529,0.348739
0.352679,0.026087,0.294118,0.34981,,0.295547,0.419355,0.023843,0.371429
0.376712,0.034364,0.208791,0.24812,,0.26009,0.365217,0.011111,0.255125
0.058793,0.034722,0.275281,0.429719,,0.13522,0.401186,0.019011,0.294931
0.076681,0.044248,0.25,0.046547,,0.25969,0.057245,0.024691,0.343023
0.056786,0.022727,0.169811,0.066538,,0.234568,0.074614,0.030172,0.148148
0.077572,0.053097,0.289216,0.041574,,0.260274,0.052505,0.011429,0.344262
0.326316,0.033113,0.214286,0.068301,,0.284091,0.091142,0.011547,0.371795
0.062718,0.015544,0.208589,0.263393,,0.313187,0.368852,,0.279352
0.052448,0.047414,0.201117,0.049275,,0.106977,0.368657,,0.242105
0.291916,0.077586,0.201389,0.035398,,0.283721,0.007704,,0.349845
0.017391,0.038217,0.125,0.255814,,0.26484,0.403846,,0.203571
0.017762,0.048387,0.253876,0.224,,0.277228,0.433333,,0.323894
0.269036,0.041667,0.30198,0.403846,,0.219008,0.367647,,0.321951
0.367647,0.021583,0.219178,0.352227,,0.132075,0.335484,,0.351064
0.341176,0.044444,0.158824,0.234513,,0.134228,0.347305,,0.25463
0.268657,0.023256,0.138298,0.272237,,0.302632,0.37931,,0.197279
0.271186,0.077253,0.149573,0.297794,,0.204819,0.313725,,0.142395
0.3125,0.062147,0.218009,0.387755,,0.308429,0.381443,,0.365
0.285714,0.070313,0.030303,0.274194,,0.240629,0.336585,,0.282609
0.300885,0.021505,0.155039,0.290749,,0.275184,0.375,,0.312227
0.324607,0.033493,0.266667,0.278481,,0.27248,0.373016,,0.333828
0.263514,0.013793,0.252212,0.255,,0.330233,0.351759,,0.412073
0.360544,0.02907,0.250667,0.285714,,0.286678,0.708696,,0.335505
0.255952,0.01676,0.262069,0.52963,,0.25498,0.44382,,0.36087
0.619433,0.044444,0.230366,0.276243,,0.229111,0.255319,,0.367432
0.27972,0.028571,0.241901,0.222826,,0.280488,0.678832,,0.334848
0.217865,0.031348,0.256623,0.5,,0.289116,0.308108,,0.373219
0.536508,0.081081,0.254181,0.259709,,0.260579,0.207632,,0.39899
0.260116,0.011127,0.261905,0.111991,,0.255531,0.282667,,0.330677
0.144531,0.033654,0.212355,0.105263,,0.389851,0.389831,,0.346995
0.125,0.031884,0.274924,0.262366,,0.129555,0.38403,,0.342688
0.259947,0.037453,0.271704,0.23741,,0.266667,0.133047,,0.465561
0.307692,0.027723,0.344234,0.285714,,0.172277,0.337423,,0.15276
0.328,0.044199,0.143312,0.136276,,0.263872,0.29,,0.38764
0.105381,0.034169,0.280528,0.291005,,0.287129,0.341991,,0.191532
0.291925,0.016216,0.156489,0.350649,,,0.347305,,0.367491
0.284091,0.028112,0.237168,0.228758,,,0.302128,,0.360215
0.264151,0.024291,0.331361,0.27027,,,0.334928,,
0.266212,0.054455,,0.251064,,,0.331731,,
0.337278,0.054945,,0.258537,,,0.545455,,
0.263158,0.040404,,0.258537,,,0.351064,,
0.261905,0.030612,,0.467647,,,0.380368,,
0.46732,0.027778,,0.306878,,,0.338462,,
0.315789,0.039474,,0.231132,,,0.382353,,
0.319277,0.034286,,0.335793,,,0.38914,,
0.303797,0.020873,,0.29661,,,0.322581,,
0.259259,0.033898,,0.314286,,,0.317204,,
0.243655,0.038298,,0.296804,,,0.419162,,
0.272189,0.031373,,0.3,,,0.303922,,
0.27381,0.03252,,0.310638,,,0.275591,,
0.283871,0.020134,,0.304183,,,0.430796,,
0.341837,0.052632,,0.248366,,,0.40081,,
0.309278,0.019608,,0.282772,,,0.529412,,
0.279379,0.023529,,0.31454,,,0.348101,,
0.226923,0.01791,,0.419753,,,0.017621,,
0.416667,0.02439,,0.247113,,,0.364583,,
0.312303,0.021622,,0.244898,,,0.352601,,
0.032258,0.018248,,0.242991,,,0.404814,,
0.29,0.060109,,0.408219,,,0.341709,,
0.287037,0.030675,,0.257426,,,0.446043,,
0.364146,0.029762,,0.244275,,,0.320896,,
0.296703,0.038647,,0.397436,,,0.264259,,
0.222222,0.045226,,0.207339,,,0.309091,,
0.326923,0.023256,,0.247525,,,0.297101,,
0.254818,0.040323,,0.236641,,,0.301887,,
0.305882,0.021084,,0.230189,,,0.296429,,
0.243948,0.033613,,0.229452,,,0.374194,,
0.28884,0.036036,,0.285714,,,0.022222,,
0.340081,0.017045,,0.323974,,,0.133333,,
0.314286,0.017784,,0.163366,,,0.332468,,
0.036697,0.036269,,0.286624,,,0.251282,,
0.299728,0.029304,,0.510018,,,0.320313,,
0.205,0.02439,,0.290698,,,0.601653,,
0.272727,0.0299,,0.246667,,,0.341085,,
0.494382,0.032258,,0.253205,,,0.307692,,
0.268595,0.026144,,0.421622,,,0.348592,,
0.275862,0.029963,,0.233463,,,0.322222,,
0.334694,0.017699,,0.247325,,,0.583026,,
0.295082,0.033898,,0.246642,,,0.227166,,
0.347305,0.026178,,0.208791,,,0.223171,,
0.263979,0.025,,0.270936,,,0.32,,
0.266667,0.04501,,0.333333,,,0.296296,,
0.273148,0.021858,,0.292818,,,0.305556,,
0.293478,0.047337,,0.199288,,,0.284024,,
0.333333,0.028674,,0.56222,,,0.257831,,
0.313869,0.038217,,0.104575,,,0.63172,,
0.216152,0.046512,,0.287016,,,0.218579,,
0.559735,0.029197,,0.275986,,,0.361702,,
0.161074,0.02439,,0.346939,,,0.472789,,
0.331507,0.030675,,0.255072,,,0.561194,,
0.290448,0.031646,,0.317073,,,0.298701,,
0.41048,0.022989,,0.331288,,,0.311111,,
0.293103,0.051163,,0.266667,,,0.525547,,
0.235955,0.033413,,0.227129,,,0.405797,,
0.43038,0.029973,,0.541016,,,0.319218,,
0.357143,0.032653,,0.295681,,,0.115436,,
0.172185,0.020408,,0.229452,,,0.498871,,
