474_Shared,474_C1,474_C11,477_Shared,477_C1,477_C11,475_Shared,475_C1,475_C11
0.411765,0.131579,0.107383,0.508361,0.187166,0.064057,0.464865,0.195402,0.144509
0.216312,0.183246,0.112319,0.232558,0.299517,0.019493,0.223881,0.335,0.059701
0.333333,0.235772,0.079137,0.374429,0.316832,0.019231,0.399083,0.279279,0.041667
0.359773,0.367713,0.068182,0.40184,0.529412,0.020833,0.397878,0.508264,0.066298
0.253289,0.23,0.077348,0.276978,0.333333,0.032787,0.245562,0.307443,0.061093
0.315217,0.110553,0.107383,0.342857,0.138528,0.054313,0.354839,0.121597,0.140351
0.365385,0.227273,0.063291,0.407407,0.268817,0.013441,0.232877,0.27,0.023324
0.308081,0.147059,0.081911,0.446154,0.156951,0.028369,0.394444,0.158687,0.035398
0.319588,0.252874,0.078704,0.350649,0.304348,0.068376,0.326425,0.268293,0.061856
0.326923,0.217742,0.090909,0.331858,0.378151,0.023622,0.358333,0.294118,0.026119
0.304348,0.228873,0.0681,0.580882,0.311787,0.028754,0.5,0.314381,0.03012
0.384083,0.176259,0.052381,0.375479,0.248031,0.035565,0.43007,0.230303,0.046083
0.64878,0.269912,0.062222,0.728155,0.399061,0.021598,0.768519,0.319853,0.02381
0.467512,0.112821,0.041943,0.537415,0.253968,0.081633,0.553415,0.241026,0.036697
0.052778,0.162162,0.121951,0.031359,0.263889,0.04878,0.173554,0.293103,0.050955
0.290323,0.25,0.059211,0.238938,0.2,0.038536,0.321696,0.235955,0.054455
0.291066,0.231544,0.081272,0.345714,0.263538,0.039326,0.309524,0.4,0.022099
0.316667,0.207792,0.114286,0.308642,0.342593,0.018692,0.476415,0.278431,0.048458
0.4375,0.215753,0.05314,0.52657,0.234201,0.04,0.483871,0.251656,0.054688
0.496269,0.234177,0.079208,0.584838,0.286585,0.026316,0.264957,0.165605,0.026403
0.191336,0.247619,0.067114,0.254777,0.443182,0.042017,0.299611,0.277778,0.035088
0.184906,0.256944,0.079646,0.276119,0.390071,0.024038,0.352201,0.320261,0.049751
0.307453,0.216418,0.060302,0.31962,0.272727,0.036474,0.322034,0.27907,0.035714
0.293333,0.221429,0.064267,0.337662,0.329457,0.038835,0.25,0.304196,0.055777
0.323529,0.177273,0.078603,0.307692,0.22179,0.029536,0.278846,0.22,0.055777
0.309091,0.093525,0.109091,0.393443,0.178694,0.049793,0.307692,0.192029,0.064639
0.316279,0.190678,0.092827,0.393939,0.201521,0.021978,0.363844,0.259109,0.02968
0.287958,0.109489,0.093525,0.416667,0.181818,0.0375,0.253406,0.179916,0.04611
0.277333,0.235589,0.044601,0.262048,0.329513,0.027523,0.357639,0.272512,0.044643
0.326019,0.222222,0.055046,0.358491,0.217391,0.038647,0.070218,0.310345,0.05314
0.078431,0.273616,0.106383,0.063037,0.305085,0.067961,0.473958,0.090301,0.051546
0.416667,0.307229,0.076233,0.505376,0.029474,0.028302,0.271762,0.09215,0.044118
0.230435,0.131783,0.168539,0.300948,0.2875,0.05,0.311688,0.089109,0.043636
0.328947,0.228916,0.113475,0.289017,0.192308,0.047904,0.27305,0.088816,0.064286
0.296296,0.165621,0.081433,0.285156,0.175214,0.062147,0.387255,0.326409,0.039326
0.335,0.194175,0.051948,0.338843,0.218069,0.05291,0.372549,0.01746,0.036885
0.267409,0.226563,0.070513,0.350932,0.314286,0.059322,0.326923,0.276316,0.084821
0.27673,0.196765,0.097222,0.343373,0.226563,0.014563,0.39819,0.218045,0.03937
0.333333,0.223958,0.098655,0.380952,0.312785,0.026201,0.37013,0.277228,0.020725
0.37193,0.208861,0.072581,0.375,0.26943,0.029126,0.550725,0.26674,0.030928
0.460829,0.174825,0.058282,0.522634,0.293413,0.053333,0.369231,0.276786,0.027778
0.302989,0.156667,0.029851,0.483589,0.238095,0.041667,0.20904,0.24183,0.064516
0.146853,0.340741,0.092308,0.177632,0.219595,0.043478,0.396226,0.300668,0.074074
0.357143,0.387097,0.094828,0.4,0.310078,0.025157,0.490798,0.292308,0.044843
0.457831,0.121406,0.080925,0.483108,0.494253,0.021429,0.192547,0.319018,0.016393
0.157895,0.161677,0.102679,0.09375,0.143251,0.069444,0.340426,0.261538,0.026316
0.350575,0.234375,0.078571,0.42069,0.165354,0.064935,0.384,0.214047,0.05614
0.310345,0.179039,0.070213,0.366667,0.323077,0.038462,0.261682,0.367521,0.04
0.27,0.225296,0.09434,0.27619,0.286089,0.048443,0.377049,0.465909,0.033333
0.364162,0.160714,0.079872,0.407407,0.375912,0.030488,0.317073,0.132022,0.054878
0.267532,0.13624,0.075472,0.26615,0.174888,0.019022,0.021053,0.145889,0.035503
0.175532,0.310345,0.044643,0.039735,0.127778,0.022222,0.022556,0.291971,0.026423
0.325991,0.290476,0.083333,0.041401,0.3,0.072917,0.211055,0.262821,0.011737
0.362283,0.216,0.047801,0.184549,0.487437,0.022222,0.401826,0.379182,0.032895
0.353293,0.187755,0.029268,0.416244,0.238095,0.026882,0.322751,0.24424,0.05618
0.245968,0.104693,0.113772,0.346626,0.2249,0.066667,0.012376,0.126829,0.034169
0.301552,0.266423,0.143939,0.039735,0.186495,0.031915,0.020833,0.375,0.027624
0.304054,0.298077,0.07,0.369942,0.334694,0.034091,0.436782,0.373786,0.0681
0.278409,0.217791,0.047872,0.452489,0.260073,0.070796,0.373913,0.204301,0.049505
0.502326,0.203333,0.076087,0.311953,0.316498,0.048387,0.336585,0.191336,0.029963
0.329588,0.200565,0.083333,0.329825,0.186047,0.032847,0.390681,0.189602,0.035398
0.141079,0.142857,0.063241,0.325967,0.228947,0.018072,0.302013,0.316667,0.038961
0.25,0.230435,0.078431,0.540765,0.219457,0.028133,0.491643,0.292929,0.048193
0.301887,0.284173,0.097561,0.384279,0.300546,0.04375,0.368644,0.294498,0.026128
0.338028,0.178182,0.066879,0.103448,0.371859,0.133333,0.127809,0.240113,0.045714
0.487578,0.168142,0.090909,0.321429,0.261589,0.04878,0.389163,0.246418,0.105263
0.530864,0.153425,0.066176,0.394444,0.245283,0.018519,0.382222,0.194215,0.058394
0.098784,0.174825,0.081081,0.506494,0.235955,0.017857,0.51,0.422018,0.067073
0.314961,0.247706,0.125,0.609023,0.222958,0.047059,0.615909,0.299107,0.017582
0.057143,0.25,0.057143,0.106908,0.303279,0.074766,0.179572,0.27551,0.046667
0.344262,0.21875,0.029925,0.268293,0.45082,0.037975,0.223077,0.183036,0.080808
0.067245,0.198864,0.06044,0.09375,0.289474,0.027559,0.0625,0.19802,0.038961
0.168821,0.172973,0.126126,0.39899,0.225383,0.032129,0.33,0.218472,0.048327
0.267943,0.318182,0.116438,0.106329,0.231156,0.043478,0.054608,0.310078,0.036364
0.351563,0.120536,0.071713,0.17537,0.469828,0.037975,0.196856,0.347518,0.045833
0.254157,0.283388,0.0625,0.308901,0.199262,0.027174,0.266816,0.216867,0.039474
0.5,0.148649,0.086142,0.38125,0.450479,0.042553,0.340426,0.268924,0.057803
0.084577,0.257813,0.108108,0.309524,0.179487,0.042929,0.313433,0.228723,0.053156
0.303797,0.266667,0.104167,0.595376,0.536145,0.042017,0.479381,0.376623,0.052953
0.659091,0.19774,0.063636,0.05618,0.27907,0.016043,0.049724,0.210526,0.077778
1,0.19917,0.073643,0.369427,0.289474,0.05641,0.284768,0.388554,0.058511
0.063584,0.273171,0.070588,0.597122,0.340909,0.010084,0.623077,0.237762,0.020833
0.235977,0.18705,0.058824,1,0.333333,0.028986,1,0.406015,0.01238
0.265957,0.309524,0.082927,0.077795,0.299213,0.035623,0.08259,0.358333,0.039474
0.335079,0.195513,0.016949,0.259179,0.319149,0.026882,0.287523,0.377907,0.022843
0.25,0.1341,0.037099,0.373134,0.248227,0.025806,0.281081,0.320346,0.060109
0.320513,0.197674,0.065421,0.329268,0.138686,0.027027,0.394089,0.275109,0.034682
0.259259,0.08547,0.076923,0.281879,0.273859,0.06,0.303797,0.312057,0.066406
0.256619,0.176617,0.087404,0.356828,0.165957,0.028436,0.393939,0.367816,0.0625
0.29771,0.266667,0.071429,0.311798,0.328446,0.033175,0.259542,0.19186,0.047619
0.359375,0.256098,0.099338,0.244161,0.395833,0.028369,0.22664,0.126582,0.016667
0.316609,0.184783,0.041667,0.319703,0.402299,0.072848,0.334532,0.286822,0.042882
